ts,elapsed_s,sql_state,bc_state,sql_query_ms,bc_api_ms,bc_http,web_http,restarts,note
2026-08-13T00:53:39+02:00,0,running,running,318,43,200,200,1,
2026-08-13T00:54:25+02:00,46,running,running,319,41,200,200,1,
2026-08-13T00:55:10+02:00,92,running,running,305,51,200,200,1,
2026-08-13T00:55:56+02:00,137,running,running,324,41,200,200,1,
2026-08-13T00:56:42+02:00,183,running,running,304,50,200,200,1,
2026-08-13T00:57:28+02:00,229,running,running,318,48,200,200,1,
2026-08-13T00:58:13+02:00,275,running,running,322,46,200,200,1,
2026-08-13T00:58:59+02:00,320,running,running,325,41,200,200,1,
2026-08-13T00:59:45+02:00,366,running,running,316,38,200,200,1,
2026-08-13T01:00:30+02:00,412,running,running,321,41,200,200,1,
2026-08-13T01:01:16+02:00,457,running,running,326,46,200,200,1,
2026-08-13T01:02:02+02:00,503,running,running,309,46,200,200,1,
2026-08-13T01:02:47+02:00,549,running,running,320,45,200,200,1,
2026-08-13T01:03:33+02:00,594,running,running,360,40,200,200,1,
2026-08-13T01:04:19+02:00,640,running,running,314,40,200,200,1,
2026-08-13T01:05:04+02:00,686,running,running,304,47,200,200,1,
2026-08-13T01:05:50+02:00,732,running,running,331,43,200,200,1,
2026-08-13T01:06:36+02:00,777,running,running,320,50,200,200,1,
2026-08-13T01:07:22+02:00,823,running,running,318,45,200,200,1,
2026-08-13T01:08:07+02:00,869,running,running,316,41,200,200,1,
2026-08-13T01:08:53+02:00,914,running,running,322,44,200,200,1,
2026-08-13T01:09:39+02:00,960,running,running,313,51,200,200,1,
2026-08-13T01:10:24+02:00,1006,running,running,328,47,200,200,1,
2026-08-13T01:11:10+02:00,1051,running,running,315,49,200,200,1,
2026-08-13T01:11:56+02:00,1097,running,running,316,46,200,200,1,
2026-08-13T01:12:41+02:00,1143,running,running,319,41,200,200,1,
2026-08-13T01:13:27+02:00,1189,running,running,322,47,200,200,1,
2026-08-13T01:14:13+02:00,1234,running,running,320,48,200,200,1,
2026-08-13T01:14:59+02:00,1280,running,running,322,40,200,200,1,
2026-08-13T01:15:44+02:00,1326,running,running,318,53,200,200,1,
2026-08-13T01:16:30+02:00,1371,running,running,310,46,200,200,1,
2026-08-13T01:17:16+02:00,1417,running,running,321,44,200,200,1,
2026-08-13T01:18:01+02:00,1463,running,running,325,42,200,200,1,
2026-08-13T01:18:47+02:00,1508,running,running,317,42,200,200,1,
2026-08-13T01:19:33+02:00,1554,running,running,320,49,200,200,1,
2026-08-13T01:20:18+02:00,1600,running,running,323,42,200,200,1,
2026-08-13T01:21:04+02:00,1646,running,running,319,47,200,200,1,
2026-08-13T01:21:50+02:00,1691,running,running,317,47,200,200,1,
2026-08-13T01:22:36+02:00,1737,running,running,320,45,200,200,1,
2026-08-13T01:23:21+02:00,1783,running,running,325,47,200,200,1,
2026-08-13T01:24:07+02:00,1828,running,running,319,47,200,200,1,
2026-08-13T01:24:53+02:00,1874,running,running,320,44,200,200,1,
2026-08-13T01:25:38+02:00,1920,running,running,321,43,200,200,1,
2026-08-13T01:26:24+02:00,1965,running,running,313,39,200,200,1,
2026-08-13T01:27:10+02:00,2011,running,running,320,44,200,200,1,
2026-08-13T01:27:55+02:00,2057,running,running,320,45,200,200,1,
